,ProdTaken,Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried
0,1,41.0,3,6.0,3,3.0,3,3.0,1.0,1,2,1,0.0,2,20993.0,1,0,1,0,0,0,1,0
1,0,49.0,1,14.0,3,4.0,3,4.0,2.0,0,3,1,2.0,2,20130.0,0,0,1,0,1,0,0,0
2,1,37.0,1,8.0,3,4.0,1,3.0,7.0,1,3,0,0.0,1,17090.0,1,0,0,0,1,0,1,0
3,0,33.0,1,9.0,2,3.0,1,3.0,2.0,1,5,1,1.0,1,17909.0,0,0,1,0,0,0,0,0
4,0,36.0,1,8.0,2,3.0,1,4.0,1.0,0,5,1,0.0,1,18468.0,1,0,0,1,1,0,0,0
5,0,32.0,1,8.0,3,3.0,1,3.0,1.0,0,5,1,1.0,1,18068.0,0,0,1,0,1,0,1,0
6,0,59.0,1,9.0,2,2.0,1,5.0,5.0,1,2,1,1.0,1,17670.0,1,0,0,1,0,0,0,0
7,0,30.0,1,30.0,3,3.0,1,3.0,2.0,0,2,0,1.0,1,17693.0,1,0,1,0,1,1,0,0
8,0,38.0,1,29.0,2,4.0,2,3.0,1.0,0,3,0,0.0,3,24526.0,0,0,1,0,1,0,0,1
9,0,36.0,1,33.0,3,3.0,3,3.0,7.0,0,3,1,0.0,2,20237.0,1,0,0,1,1,0,0,0
10,0,35.0,1,22.0,2,2.0,1,4.0,1.0,0,3,1,1.0,1,17426.0,1,0,0,1,1,0,0,0
11,0,36.0,1,21.0,2,4.0,3,3.0,1.0,1,3,0,0.0,2,22347.0,1,0,1,0,0,0,1,0
12,0,31.0,1,32.0,2,3.0,1,3.0,2.0,0,3,0,1.0,1,17911.0,1,0,1,0,1,1,0,0
13,0,34.0,1,25.0,3,3.0,1,3.0,1.0,0,3,0,2.0,1,17661.0,1,0,0,1,1,1,0,0
14,1,28.0,1,30.0,2,4.0,1,3.0,6.0,1,2,0,0.0,1,17028.0,1,0,1,0,1,0,1,0
15,0,29.0,1,27.0,2,2.0,2,5.0,2.0,0,5,1,1.0,3,24980.0,1,0,1,0,0,1,0,0
